0-15,121Plus,16-30,31-45,46-60,61-90,91-120,Airport,AvgWait,Booths,Count,Date,Excluded,Flights,Lat,Lon,LongDate,MaxWait
3120,0,1177,593,261,253,49,FLL,16.3,10.55,5644,01/15/16,191,48,26.072500228881836,-80.15277862548828,1452816000000,37.85
3160,0,1373,342,266,334,144,FLL,17.25,9.05,5837,06/08/16,218,60,26.072500228881836,-80.15277862548828,1465344000000,40.3
3056,0,1464,953,592,115,0,FLL,18.473684210526315,10.68421052631579,6372,12/18/15,192,53,26.072500228881836,-80.15277862548828,1450396800000,39.68421052631579
3159,0,1717,1465,549,417,10,FLL,22.736842105263158,11.578947368421053,7595,12/20/15,278,64,26.072500228881836,-80.15277862548828,1450569600000,54.1578947368421
3582,0,1361,773,593,311,8,FLL,19.157894736842106,11.31578947368421,6822,12/26/15,194,67,26.072500228881836,-80.15277862548828,1451088000000,43.8421052631579
3970,0,1603,727,394,175,12,FLL,16.210526315789473,10.368421052631579,7135,12/30/15,254,56,26.072500228881836,-80.15277862548828,1451433600000,41.21052631578947
5625,0,1233,423,91,93,0,FLL,11.31578947368421,10.526315789473685,7671,01/02/16,206,87,26.072500228881836,-80.15277862548828,1451692800000,31.157894736842106
4310,0,1860,800,228,42,0,FLL,15.210526315789474,11.842105263157896,7459,01/10/16,219,58,26.072500228881836,-80.15277862548828,1452384000000,38.578947368421055
3383,0,1717,901,482,95,0,FLL,17.842105263157894,11.842105263157896,6807,01/11/16,229,52,26.072500228881836,-80.15277862548828,1452470400000,41.578947368421055
3553,0,1472,357,170,221,26,FLL,15.736842105263158,10.842105263157896,5990,01/12/16,191,51,26.072500228881836,-80.15277862548828,1452556800000,41.78947368421053
3875,0,1971,566,58,0,0,FLL,13.105263157894736,11.473684210526315,6676,01/17/16,206,55,26.072500228881836,-80.15277862548828,1452988800000,32.68421052631579
3334,0,1256,567,149,236,33,FLL,14.263157894736842,8.263157894736842,5764,02/15/16,189,56,26.072500228881836,-80.15277862548828,1455494400000,37.21052631578947
4561,0,1645,436,166,114,14,FLL,12.631578947368421,10.789473684210526,7219,03/20/16,283,71,26.072500228881836,-80.15277862548828,1458432000000,32.78947368421053
4093,0,1922,433,11,0,0,FLL,11.526315789473685,9.157894736842104,6682,03/27/16,223,71,26.072500228881836,-80.15277862548828,1459036800000,26.05263157894737
3317,0,1029,364,240,122,0,FLL,12.68421052631579,10.68421052631579,5252,06/09/16,180,50,26.072500228881836,-80.15277862548828,1465430400000,32.89473684210526
3181,0,1180,508,365,440,161,FLL,19.842105263157894,10.31578947368421,6051,06/15/16,216,49,26.072500228881836,-80.15277862548828,1465948800000,51.473684210526315
3395,171,1025,620,458,410,498,FLL,23.789473684210527,10.578947368421053,6878,06/17/16,297,62,26.072500228881836,-80.15277862548828,1466121600000,66
3262,0,1446,701,519,476,3,FLL,18.105263157894736,9.210526315789474,6694,07/16/16,287,60,26.072500228881836,-80.15277862548828,1468627200000,43.21052631578947
3795,0,1766,979,318,239,141,FLL,18,9.842105263157896,7548,08/01/16,310,67,26.072500228881836,-80.15277862548828,1470009600000,51.8421052631579
2493,0,1710,960,819,872,187,FLL,29.05263157894737,10.578947368421053,7649,08/10/16,608,57,26.072500228881836,-80.15277862548828,1470787200000,68.26315789473684
3692,0,1384,530,138,0,0,FLL,12.578947368421053,10.31578947368421,5986,10/23/16,242,57,26.072500228881836,-80.15277862548828,1477180800000,33.36842105263158
3390,0,1091,308,141,103,0,FLL,12.944444444444445,11.11111111111111,5184,11/23/15,151,45,26.072500228881836,-80.15277862548828,1448236800000,34
3002,0,1112,364,156,56,0,FLL,12.61111111111111,10.11111111111111,4827,12/04/15,137,46,26.072500228881836,-80.15277862548828,1449187200000,30.5
3719,0,740,250,141,13,0,FLL,10.277777777777779,10.277777777777779,5027,12/06/15,164,54,26.072500228881836,-80.15277862548828,1449360000000,26.055555555555557
3090,0,689,382,72,0,0,FLL,11.61111111111111,9.722222222222221,4360,12/09/15,127,42,26.072500228881836,-80.15277862548828,1449619200000,31.22222222222222
2720,0,992,394,99,10,0,FLL,12.38888888888889,10.722222222222221,4379,12/10/15,164,45,26.072500228881836,-80.15277862548828,1449705600000,31.61111111111111
2664,0,989,456,383,337,43,FLL,17.444444444444443,9.61111111111111,5023,12/11/15,151,51,26.072500228881836,-80.15277862548828,1449792000000,39.5
3607,0,995,379,188,358,0,FLL,16.666666666666668,11.777777777777779,5718,12/12/15,191,48,26.072500228881836,-80.15277862548828,1449878400000,37.5
3724,0,1342,642,227,55,0,FLL,16,11.38888888888889,6194,12/13/15,204,59,26.072500228881836,-80.15277862548828,1449964800000,44
2925,0,1025,506,392,424,42,FLL,20.666666666666668,11.88888888888889,5481,12/16/15,167,45,26.072500228881836,-80.15277862548828,1450224000000,49.666666666666664
2973,0,1340,829,590,568,5,FLL,23.944444444444443,12.166666666666666,6506,12/17/15,201,50,26.072500228881836,-80.15277862548828,1450310400000,54.111111111111114
3795,0,1559,872,447,286,0,FLL,18.5,11.333333333333334,7230,12/19/15,271,54,26.072500228881836,-80.15277862548828,1450483200000,42.611111111111114
2864,0,1650,1059,284,171,0,FLL,19.72222222222222,11.055555555555555,6230,12/22/15,202,47,26.072500228881836,-80.15277862548828,1450742400000,42.888888888888886
