Airport,LongDate,Date,Hour,AvgWait,MaxWait,Booths,Count,Lat,Lon
EWR,1451088000000,12/26/15,0700 - 0800,25,50,8,415,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,0800 - 0900,23.5,35.5,6.5,199,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1100 - 1200,7.5,14,16,231,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1200 - 1300,17.5,39.5,22,1812,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1300 - 1400,24,52.5,22.5,1969,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1400 - 1500,33,61.5,22,1272,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1500 - 1600,15,28,14.5,677,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1600 - 1700,16,40,17.5,1051,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1700 - 1800,7,19,14.5,345,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1800 - 1900,10.5,27.5,19,1191,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1900 - 2000,20.5,56.5,18.5,1526,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,2000 - 2100,12,32.5,13,691,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,2100 - 2200,20,39.5,11.5,1140,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,0000 - 0100,19,58,4,171,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,0400 - 0500,20,56,15,704,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,0500 - 0600,55,115,15,572,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,0600 - 0700,28,77,10,247,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,0900 - 1000,6,12,9,69,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,1000 - 1100,14,33,9,184,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,2200 - 2300,23,43,8,292,40.692501068115234,-74.16860961914062
EWR,1451088000000,12/26/15,2300 - 0000,9,14,5,125,40.692501068115234,-74.16860961914062
EWR,1451692800000,01/02/16,0700 - 0800,19.5,41.5,7,491,40.692501068115234,-74.16860961914062
EWR,1451692800000,01/02/16,1100 - 1200,8,45,21.5,1182,40.692501068115234,-74.16860961914062
EWR,1451692800000,01/02/16,1200 - 1300,7,20.5,26,1442,40.692501068115234,-74.16860961914062
EWR,1451692800000,01/02/16,1300 - 1400,11,33.5,26.5,3292,40.692501068115234,-74.16860961914062
